epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3656.2,1.14925,1.21192,1.45135,0.82233,0.65268,0.70845,0.57044,0.91231,1.01119,1.3388,0.000742625,0.000742625,0.000742625
43,3741.79,1.13721,1.21603,1.44863,0.80216,0.66951,0.71298,0.57903,0.90178,1.00272,1.3222,0.00073025,0.00073025,0.00073025
44,3828.8,1.13797,1.19518,1.44237,0.82501,0.66407,0.71884,0.5808,0.91457,1.00001,1.33582,0.000717875,0.000717875,0.000717875
45,3913.85,1.11843,1.17362,1.42493,0.80977,0.67833,0.71283,0.57576,0.91574,1.04799,1.33962,0.0007055,0.0007055,0.0007055
46,3999.81,1.11601,1.15343,1.42653,0.83884,0.6558,0.71817,0.58358,0.88581,1.01678,1.3276,0.000693125,0.000693125,0.000693125
47,4085.55,1.12382,1.14041,1.42776,0.82628,0.65107,0.71206,0.57219,0.90686,1.02478,1.33764,0.00068075,0.00068075,0.00068075
48,4171.37,1.10838,1.13824,1.4152,0.84908,0.64899,0.72097,0.58503,0.88942,1.00224,1.3277,0.000668375,0.000668375,0.000668375
49,4258.47,1.08878,1.12481,1.40608,0.80703,0.65066,0.7041,0.57094,0.88979,1.00139,1.31792,0.000656,0.000656,0.000656
50,4343.49,1.09644,1.1086,1.40859,0.84279,0.65136,0.72159,0.57932,0.90422,0.99459,1.32969,0.000643625,0.000643625,0.000643625
51,4430.89,1.08717,1.10068,1.4076,0.84396,0.65418,0.7131,0.57744,0.89914,0.99614,1.33162,0.00063125,0.00063125,0.00063125
52,4518.66,1.08823,1.11588,1.40195,0.84869,0.67733,0.72595,0.58869,0.90115,0.98886,1.32664,0.000618875,0.000618875,0.000618875
